0,0500000000	19,5300000000
0,0600000000	16,1920673438
0,0700000000	13,7372559598
0,0800000000	11,8537573350
0,0900000000	10,3582749048
0,1000000000	9,1370822213
0,1100000000	8,1162391990
0,1200000000	7,2457170801
0,1300000000	6,4904913687
0,1400000000	5,8253085813
0,1500000000	5,2314841369
0,1600000000	4,6948719601
0,1700000000	4,2045359121
0,1800000000	3,7518557523
0,1900000000	3,3299100875
0,2000000000	2,9330404383
0,2100000000	2,5565363779
0,2200000000	2,1964031185
0,2300000000	1,8491860715
0,2400000000	1,5118351572
0,2500000000	1,1815969088
0,2600000000	0,8559258230
0,2700000000	0,5324086112
0,2800000000	0,2086963994
0,2900000000	-0,1175592478
0,3000000000	-0,4487702192
0,3100000000	-0,7874793977
0,3200000000	-1,1364359515
0,3300000000	-1,4986832836
0,3400000000	-1,8776659237
0,3500000000	-2,2773638131
0,3600000000	-2,7024658085
0,3700000000	-3,1585994480
0,3800000000	-3,6526422218
0,3900000000	-4,1931526932
0,4000000000	-4,7909812559
0,4100000000	-5,4601563590
0,4200000000	-6,2192045821
0,4300000000	-7,0931754176
0,4400000000	-8,1168524105
0,4500000000	-9,3400465515
0,4600000000	-10,8367284393
0,4700000000	-12,7216652038
0,4800000000	-15,1828136248
0,4900000000	-18,5498563443
0,5000000000	-23,4555726028
